"CowTagID","Day_Night","Tide","Phosphate_umolL","Silicate_umolL","Nitrite_umolL","Ammonia_umolL","Season","lat","lng","N_ug","del15N","C_ug","del13C","N_percent","C_percent","C_N"
"C16","Night","High",0.189376772,1.312127494,0.509427633,0.228204106,"March",-17.51723299,-149.912976,13.6,3.3,733.8,-9,0.553520554,29.86568987,53.95588235
"C17","Night","High",0.181595521,2.110028505,0.381695562,0.448346977,"March",-17.51721203,-149.912771,22.3,3,893.2,-9.6,0.773472998,30.98054178,40.05381166
"C18","Night","High",0.205075788,1.085825343,0.650489036,0.22826338,"March",-17.51757103,-149.912982,29.1,3.3,1094.9,-8.8,0.827339152,31.12899099,37.62542955
"C19","Night","High",0.21877261,1.020307506,0.626037216,0.285403317,"March",-17.51770397,-149.912893,20.5,3,792,-9.8,0.848650439,32.78688525,38.63414634
"C20","Night","High",0.172540146,2.675960957,0.321051517,0.212733646,"March",-17.51692303,-149.912724,21,3.2,759.5,-8.7,0.875,31.64583333,36.16666667
"CPIT","Night","High",0.184371289,1.40703982,0.376399138,0.292101256,"March",-17.51652,-149.91379,NA,NA,NA,NA,NA,NA,NA
"CRC","Night","High",0.176271507,1.118761337,0.29739416,0.092882035,"March",-17.5168,-149.92307,17.7,6.2,828.1,-11,0.733405155,34.31258805,46.78531073
"CRC","Day","Low",0.198705172,2.361475339,0.373927474,0.182978202,"March",-17.5168,-149.92307,17.7,6.2,828.1,-11,0.733405155,34.31258805,46.78531073
"CPIT_Bottom","Day","Low",0.180639928,2.530759264,0.410737615,0.661673361,"March",-17.51652,-149.91379,NA,NA,NA,NA,NA,NA,NA
"CPIT","Day","Low",0.158888828,1.464766347,0.317697115,0.212140908,"March",-17.51652,-149.91379,NA,NA,NA,NA,NA,NA,NA
"CSPRING_BEACH2","Day","High",1.847374852,650.7339043,32.49964691,5.412764305,"March",-17.516384,-149.912515,NA,NA,NA,NA,NA,NA,NA
"C1","Day","Low",0.23,5.65,0.55,0.39,"August",-17.517048,-149.912693,15.6,3.5,756,-9.6,0.638899128,30.96203465,48.46153846
"C2","Day","Low",0.22,7.49,0.39,0.54,"August",-17.51706904,-149.912949,17.5,3.5,736.3,-9,0.677113562,28.48906945,42.07428571
"C3","Day","Low",0.28,5.39,0.69,0.37,"August",-17.51697499,-149.913111,20,3.2,789.1,-8.8,0.769497134,30.36050941,39.455
"C4","Day","Low",0.22,8.33,0.25,0.47,"August",-17.51679302,-149.912772,16.2,3.5,700.8,-8.8,0.629688654,27.23986473,43.25925926
"C5","Day","Low",0.23,8.28,0.4,0.42,"August",-17.51659596,-149.912877,16,3.5,779.4,-8.6,0.590951062,28.7867036,48.7125
"C6","Day","Low",0.21,1.91,0.44,0.26,"August",-17.51653796,-149.913134,14.3,3.4,680.7,-10.5,0.576961872,27.46419205,47.6013986
"C7","Day","Low",0.22,2.38,0.61,0.29,"August",-17.51630402,-149.913229,19.5,3.6,766.3,-9.2,0.715543813,28.11903713,39.2974359
"C8","Day","Low",0.23,6.2,0.44,0.35,"August",-17.51632397,-149.91291,13.8,3.4,660.1,-8.6,0.582106551,27.84409668,47.83333333
"C9","Day","Low",0.25,5.46,0.7,0.4,"August",-17.51639103,-149.913111,17,3.2,756.9,-9.7,0.649673253,28.92574617,44.52352941
"C10","Day","Low",0.24,6.79,0.31,0.32,"August",-17.51588602,-149.912912,14.5,3.1,716.9,-8.3,0.56603037,27.98532225,49.44137931
"C11","Day","Low",0.24,3.62,0.7,0.36,"August",-17.51598098,-149.913194,20.2,3.1,755.5,-9.4,0.771994191,28.87334709,37.4009901
"C12","Day","Low",0.25,4.12,1.02,0.28,"August",-17.51595701,-149.913303,21.6,3.3,737.1,-9.3,0.856700908,29.23491849,34.125
"C13","Day","Low",0.29,5.63,0.74,0.48,"August",-17.51557102,-149.913136,19,3.2,716.8,-9,0.751968971,28.36901888,37.72631579
"C14","Day","Low",0.23,2.51,0.58,0.34,"August",-17.51652597,-149.913031,16.2,3.4,773.4,-9,0.614171437,29.32099936,47.74074074
"C15","Day","Low",0.23,2.11,0.68,0.24,"August",-17.51721597,-149.913056,24.6,3,858,-10.2,0.958205118,33.42032485,34.87804878
"C16","Day","Low",0.21,8.53,0.32,1.01,"August",-17.51723299,-149.912976,21.2,3.3,713.7,-9.3,0.841670637,28.33492139,33.66509434
"C17","Day","Low",0.26,8.92,0.35,0.51,"August",-17.51721203,-149.912771,18.8,3.4,746.3,-8.4,0.736705984,29.24487637,39.69680851
"C18","Day","Low",0.23,4.33,0.68,0.45,"August",-17.51757103,-149.912982,19.3,3,697.4,-10.4,0.763781709,27.59903439,36.13471503
"C19","Day","Low",0.24,3.88,0.67,0.39,"August",-17.51770397,-149.912893,21.9,3.5,743.5,-8.9,0.843410614,28.63359778,33.94977169
"C20","Day","Low",0.2,6.38,0.2,0.45,"August",-17.51692303,-149.912724,21.8,3.7,686.9,-9.1,0.862717163,27.18350548,31.50917431
"CSEEP","Day","Low",4.24,778.05,18.24,0.18,"August",-17.516384,-149.912515,15.1,3.5,746.9,-8.2,0.591044309,29.23516518,49.46357616
"C1","Day","High",0.21,4.67,0.38,0.16,"August",-17.517048,-149.912693,15.6,3.5,756,-9.6,0.638899128,30.96203465,48.46153846
"C2","Day","High",0.23,4.42,0.42,0.22,"August",-17.51706904,-149.912949,17.5,3.5,736.3,-9,0.677113562,28.48906945,42.07428571
